Codigo,Puntaje,Descripcion,Tipo,PFA,RIG,PuntajeCongelado,Categoria
A1,1,No asiste a Tefilah,Negative,SI,NO,NO,A
A2,0.5,"Llega tarde a las actividades programadas (tefilá, recreo, Intersesión).",Negative,SI,NO,NO,A
A3,0.5,No cumple con el uniforme señalado en el Handbook.,Negative,SI,NO,NO,A
A4,0.5,"Presentación personal inadecuada (falta de aseo, descuido evidente de la vestimenta).",Negative,SI,NO,NO,A
A5,0.25,Asiste a clases sin los materiales solicitados.,Negative,SI,NO,NO,A
A6,0.25,No mantiene la limpieza y el orden de su espacio de trabajo.,Negative,SI,NO,NO,A
A8,1,"Interrumpe la clase y el ambiente de aprendizaje, pese ha llamado de atención previo.",Negative,SI,NO,NO,A
A9,0.25,Ingiere alimentos o bebidas en clases.,Negative,SI,NO,NO,A
A10,0.25,No trabaja en clases a pesar de darle varias oportunidades.,Negative,SI,NO,NO,A
A13,0.25,No cumple con tareas o trabajos asignados.,Negative,SI,NO,NO,A
A14,0.25,Sin firma en: Libreta Com. y-o Tareas y-o Pruebas.,Negative,SI,NO,NO,A
A15,0.25,No entrega tarea o trabajo en la fecha indicada.,Negative,SI,NO,NO,A
A16,0.25,Realiza trabajos o estudio de otras asignaturas en el horario que no corresponde.,Negative,SI,NO,NO,A
B1,2,Sale de la sala sin autorización.,Negative,SI,NO,NO,B
B3,3,Raya y-o dibujar diseños o imágenes ofensivas y-u obscenas (grafitis) en el colegio o en actividades del mismo.,Negative,SI,NO,NO,B
B4,3,Desobedece instrucciones durante situaciones de emergencia.,Negative,SI,NO,NO,B
B5,2,"No cumple con las normativas de los lugares que se visitan en salidas, viajes o giras o representando al colegio.",Negative,SI,NO,NO,B
B6,2,"No acata las instrucciones de Morot o Morim o acompañantes en salidas, viajes o giras.",Negative,SI,NO,NO,B
B7,3,Causa daño grave a la infraestructura del colegio y-o bienes de otros.,Negative,SI,NO,NO,B
B8,3,"Ausencia a clase quedándose dentro del recinto, sin justificación (capeo).",Negative,SI,NO,NO,B
B9,6,"Daña y-o adultera datos informáticos oficiales del colegio, mediante hackeo, crakeo, etc.",Negative,SI,NO,NO,B
B10,3,"Ingresa a sectores prohibidos, donde existe un riesgo para el estudiante, y todos aquellos que cuenten con la señalética Prohibido el ingreso.",Negative,SI,NO,NO,B
B12,3,Es sorprendido requiriendo o entregando información durante pruebas.,Negative,SI,NO,NO,B
B13,6,Adultera firma en comunicaciones o cualquier documento oficial del colegio.,Negative,SI,NO,NO,B
